,company,company_location,review_date,country_of_bean_origin,specific_bean_or_bar_origin,cocoa_percent,ingredients,most_memorable_characteristics,rating,Rating Category,cocoa_percent_classification
42,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,0.88,"3- B,S,C","orange, floral, lemon",3.5,Highly Recommended,Very Bitter and Extra Dark
43,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Ami-Ami-CA",0.72,"3- B,S,C",cocoa and powerful tang,3.5,Highly Recommended,Bittersweet and Dark
44,Aelan,Vanuatu,2019,Vanuatu,"Malekula Island, batch M10/19",0.7,"2- B,S","unrefined, sweet, metallic",2.5,Disapointing,Bittersweet and Dark
45,Aelan,Vanuatu,2019,Vanuatu,"Malo Island, batch Ma20/19",0.7,"2- B,S","basic, sweet, cocoa, woody",2.75,Disapointing,Bittersweet and Dark
46,Aelan,Vanuatu,2019,Vanuatu,"EPI Island, batch E 11/19",0.7,"2- B,S","sandy, woody, spicy, sweet",3.0,Recommended,Bittersweet and Dark
47,Aelan,Vanuatu,2019,Vanuatu,"Santo Island, batch S15/19",0.7,"2- B,S","sweet, cocoa, rubbery",2.75,Disapointing,Bittersweet and Dark
48,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",0.55,"4- B,S,C,V","sandy, sweet, banana cream",2.75,Disapointing,Sweet and Mild
49,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",0.7,"4- B,S,C,V","roasty, nutty, coffee",3.0,Recommended,Bittersweet and Dark
50,Ah Cacao,Mexico,2009,Mexico,Tabasco,0.7,"3- B,S,C","gritty, spice, cocoa",3.0,Recommended,Bittersweet and Dark
51,Akesson's (Pralus),U.K.,2010,Madagascar,"Madagascar, Ambolikapiky P.",0.75,"4- B,S,C,L","strong pepper, musty",2.75,Disapointing,Bittersweet and Dark
52,Akesson's (Pralus),U.K.,2010,Brazil,"Monte Alegre, D. Badero",0.75,"4- B,S,C,L","fatty, intense, woody",2.75,Disapointing,Bittersweet and Dark
53,Akesson's (Pralus),U.K.,2011,Indonesia,"Bali (west), Sukrama Family, Melaya area",0.75,"4- B,S,C,L","hay, nut, berry",3.75,Highly Recommended,Bittersweet and Dark
54,Alain Ducasse,France,2013,Venezuela,Chuao,0.75,"5- B,S,C,V,L","sandy, dirt, ashey",2.5,Disapointing,Bittersweet and Dark
55,Alain Ducasse,France,2013,Peru,"Piura, Perou",0.75,"5- B,S,C,V,L","cardboard, dirt, roasty",2.5,Disapointing,Bittersweet and Dark
56,Alain Ducasse,France,2014,Trinidad,Trinite,0.65,"6-B,S,C,V,L,Sa","roasty, sweet, savory",2.75,Disapointing,Semi-sweet and Dark
57,Alain Ducasse,France,2014,Vietnam,Vietnam,0.75,"5-B,S,C,V,Sa","nutty, roasty, odd dairy",2.75,Disapointing,Bittersweet and Dark
58,Alain Ducasse,France,2014,Madagascar,Madagascar,0.75,"5-B,S,C,V,Sa","citrus, fatty, dairy",3.0,Recommended,Bittersweet and Dark
59,Alain Ducasse,France,2017,Mexico,"Porcelana, Mexique",0.75,"6-B,S,C,V,L,Sa","strawberry, cream, gateway",3.5,Highly Recommended,Bittersweet and Dark
60,Alexandre,Netherlands,2017,Ecuador,"Winak Coop, Napo",0.7,"3- B,S,C","sandy, green, floral",3.5,Highly Recommended,Bittersweet and Dark
61,Alexandre,Netherlands,2017,Nicaragua,"La Dalia, Matagalpa",0.7,"3- B,S,C","sandy, sweet, nibby",3.5,Highly Recommended,Bittersweet and Dark
62,Alexandre,Netherlands,2017,Tanzania,"Makwale Village, Kyela",0.7,"3- B,S,C","sandy, melon, banana",3.5,Highly Recommended,Bittersweet and Dark
63,Alexandre,Netherlands,2017,Vietnam,Tien Giang,0.7,"3- B,S,C","sandy, sweet, roasty",3.5,Highly Recommended,Bittersweet and Dark
64,Altus aka Cao Artisan,U.S.A.,2013,Venezuela,Sur del Lago,0.6,"4- B,S,C,L","sweet, moldy, off",2.5,Disapointing,Semi-sweet and Dark
65,Altus aka Cao Artisan,U.S.A.,2013,Dominican Republic,"Conacado, batch 130",0.6,"4- B,S,C,L","sandy, sweet, dairy, spice",3.0,Recommended,Semi-sweet and Dark
66,Altus aka Cao Artisan,U.S.A.,2013,Bolivia,"Bolivia, batch 101",0.8,"4- B,S,C,L","gritty, berry, mild bitter",3.25,Recommended,Bittersweet and Dark
67,Altus aka Cao Artisan,U.S.A.,2013,Bolivia,"Bolivia, batch 154",0.6,"4- B,S,C,L","grit, sweet, caramel, fruit",3.0,Recommended,Semi-sweet and Dark
68,Altus aka Cao Artisan,U.S.A.,2013,Peru,"Peru, batch 148",0.6,"4- B,S,C,L","gritty, too sweet, fruit",3.25,Recommended,Semi-sweet and Dark
69,Altus aka Cao Artisan,U.S.A.,2016,Nicaragua,Momotombo,0.6,"3- B,S,C","powdery, sweet, molasses",2.75,Disapointing,Semi-sweet and Dark
70,Altus aka Cao Artisan,U.S.A.,2016,Peru,Acopagro,0.6,"3- B,S,C","dry, sweet, caramel",3.0,Recommended,Semi-sweet and Dark
71,Altus aka Cao Artisan,U.S.A.,2016,Bolivia,CIAAB Coop,0.6,"3- B,S,C","sandy, sweet, pungent",2.5,Disapointing,Semi-sweet and Dark
72,Altus aka Cao Artisan,U.S.A.,2016,Peru,Villa Andina,0.6,"3- B,S,C","sandy, sweet, sour, off",2.5,Disapointing,Semi-sweet and Dark
73,Altus aka Cao Artisan,U.S.A.,2016,Ecuador,Gruppo Salinas,0.6,"3- B,S,C","sandy, nutty, earthy, roasty",2.75,Disapointing,Semi-sweet and Dark
74,Altus aka Cao Artisan,U.S.A.,2018,Dominican Republic,Oko Caribe,0.7,"3- B,S,C","sweet, coarse, nutty",3.0,Recommended,Bittersweet and Dark
75,Amano,U.S.A.,2007,Madagascar,Madagascar,0.7,"4- B,S,C,V","spice, nut, cocoa, fruit",3.5,Highly Recommended,Bittersweet and Dark
76,Amano,U.S.A.,2007,Venezuela,Cuyagua,0.7,"4- B,S,C,V","waxy, nutty, mint",3.0,Recommended,Bittersweet and Dark
77,Amano,U.S.A.,2007,Venezuela,Ocumare,0.7,"4- B,S,C,V","spicy, strawberry",3.75,Highly Recommended,Bittersweet and Dark
78,Amano,U.S.A.,2008,Indonesia,"Bali, Jembrana",0.7,"4- B,S,C,V","sticky, nutty, high acidity",2.75,Disapointing,Bittersweet and Dark
79,Amano,U.S.A.,2009,Venezuela,Montanya,0.7,"4- B,S,C,V","hot spice, roasty",3.0,Recommended,Bittersweet and Dark
80,Amano,U.S.A.,2010,Dominican Republic,Dos Rios,0.7,"4- B,S,C,V","orange, cinamon",3.75,Highly Recommended,Bittersweet and Dark
81,Amano,U.S.A.,2010,Ecuador,Guayas,0.7,"4- B,S,C,V","strong spice, intense pepper",4.0,Outstanding,Bittersweet and Dark
82,Amano,U.S.A.,2010,Venezuela,Chuao,0.7,"4- B,S,C,V","woody, red berry, sour",3.0,Recommended,Bittersweet and Dark
83,Amano,U.S.A.,2011,Papua New Guinea,Morobe,0.7,"4- B,S,C,V","tart, lemon, smoke",4.0,Outstanding,Bittersweet and Dark
84,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,0.7,"2- B,S","dry, chalky, fudge-like",3.0,Recommended,Bittersweet and Dark
85,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,0.7,"2- B,S","waxy mouthfeel, spicy",2.75,Disapointing,Bittersweet and Dark
86,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,0.85,"2- B,S","fatty, mushroom, off notes",2.75,Disapointing,Bittersweet and Dark
87,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,0.85,"2- B,S","roasty,oddly sweet,marshmallow",3.0,Recommended,Bittersweet and Dark
88,Amazing Cacao,Russia,2017,Peru,Maranon,0.7,,"raisins, pungent",3.0,Recommended,Bittersweet and Dark
89,Amazing Cacao,Russia,2017,Peru,Platan Bajo,0.7,,"few grits, blackcherry, licorice",3.5,Highly Recommended,Bittersweet and Dark
90,Amazona,Peru,2013,Peru,"LamasdelChanka, San Martin, Oro Verde coop",0.72,"3- B,S,C","oily, vanilla, melon, cocoa",3.25,Recommended,Bittersweet and Dark
91,Amazona,Peru,2013,Peru,"Bellavista Gran Pajeten, San Martin",0.73,"3- B,S,C","oily, vegetal, nutty, cocoa",3.5,Highly Recommended,Bittersweet and Dark
92,Ambrosia,Canada,2015,Belize,Belize,0.64,"4- B,S,C,L","roasty, brownie, nutty",3.0,Recommended,Semi-sweet and Dark
93,Ambrosia,Canada,2015,Madagascar,Madagascar,0.66,"2- B,S","fruity, sour",3.25,Recommended,Semi-sweet and Dark
94,Ambrosia,Canada,2015,Dominican Republic,Dominican Republic,0.75,"2- B,S","high roast, high astringnet",3.25,Recommended,Bittersweet and Dark
95,Ambrosia,Canada,2015,Papua New Guinea,Papua New Guinea,0.63,"2- B,S","smokey, savory",3.25,Recommended,Semi-sweet and Dark
96,Ambrosia,Canada,2015,Venezuela,Venezuela,0.7,"2- B,S","sandy, roasty, nutty",3.25,Recommended,Bittersweet and Dark
97,Ambrosia,Canada,2015,Peru,Peru,0.68,"2- B,S","rich, sour, mild smoke",3.5,Highly Recommended,Semi-sweet and Dark
98,Amedei,Italy,2006,Blend,Toscano Black,0.66,"4- B,S,C,V","red wine, rich cocoa, long",3.75,Highly Recommended,Semi-sweet and Dark
99,Amedei,Italy,2007,Ecuador,Ecuador,0.7,"4- B,S,C,V","creamy, earthy, vegetal",3.0,Recommended,Bittersweet and Dark
100,Amedei,Italy,2007,Jamaica,Jamaica,0.7,"4- B,S,C,V","sandy, woody, spicy",3.0,Recommended,Bittersweet and Dark
101,Amedei,Italy,2007,Grenada,Grenada,0.7,"4- B,S,C,V",fruity with coffee notes,3.5,Highly Recommended,Bittersweet and Dark
102,Amedei,Italy,2007,Venezuela,Venezuela,0.7,"4- B,S,C,V","creamy, fruit, cocoa",3.75,Highly Recommended,Bittersweet and Dark
103,Amedei,Italy,2007,Trinidad,Trinidad,0.7,"4- B,S,C,V","coffee, fruit, woodsy",3.5,Highly Recommended,Bittersweet and Dark
104,Amedei,Italy,2007,Blend,Toscano Black,0.63,"4- B,S,C,V","fatty, dairy, caramel, cocoa",3.5,Highly Recommended,Semi-sweet and Dark
105,Amedei,Italy,2012,Peru,"Piura, Blanco de Criollo",0.7,"4- B,S,C,V","creamy, raspberry, nutty",3.75,Highly Recommended,Bittersweet and Dark
106,Amedei,Italy,2018,Madagascar,Madagascar,0.7,"4- B,S,C,V","vanilla, mint, roasty",3.0,Recommended,Bittersweet and Dark
107,Amedei,Italy,2018,Venezuela,Chuao,0.7,"4- B,S,C,V","vanilla, nuts, roasty",3.0,Recommended,Bittersweet and Dark
108,Amedei,Italy,2018,Venezuela,Porcelana,0.7,"4- B,S,C,V","nutty, mild roasty, vanilla",3.0,Recommended,Bittersweet and Dark
109,Amedei,Italy,2018,Blend,Nine,0.75,"4- B,S,C,V","sweet, delicate, complex",3.5,Highly Recommended,Bittersweet and Dark
110,Amedei,Italy,2019,Blend,Toscano Black,0.7,"3- B,S,C","nut, fatty, rubbery, rich",2.75,Disapointing,Bittersweet and Dark
111,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",0.85,"4- B,S,C,L","creamy, red berry, bitter",2.75,Disapointing,Bittersweet and Dark
112,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",0.5,"4- B,S,C,L","very sweet, bright red, banana",3.75,Highly Recommended,Sweet and Mild
113,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",0.75,"4- B,S,C,L","roasty, fatty, nutty, coffee",3.75,Highly Recommended,Bittersweet and Dark
114,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",0.6,"4- B,S,C,L","creamy, sweet,cocoa,banana",4.0,Outstanding,Semi-sweet and Dark
115,AMMA,Brazil,2013,Brazil,Catongo,0.75,"4- B,S,C,L","grainy, sweet, poor aftertaste",3.25,Recommended,Bittersweet and Dark
116,Anahata,U.S.A.,2014,Dominican Republic,Elvesia,0.75,"2- B,S","chalky, mild fruit, burnt",3.0,Recommended,Bittersweet and Dark
117,Animas,U.S.A.,2016,Bolivia,Alto Beni,0.75,"2- B,S","light roast, caramel, cocoa",3.5,Highly Recommended,Bittersweet and Dark
118,Animas,U.S.A.,2021,Belize,"Maya Mountain, batch 39",0.75,"2- B,S","burnt toast, cherry",3.0,Recommended,Bittersweet and Dark
119,Animas,U.S.A.,2021,Guatemala,"Alta Verapaz, Cahabon & Lanquin regions, b. 4243",0.75,"2- B,S","orange citrus, harsh earthiness",3.25,Recommended,Bittersweet and Dark
120,Ara,France,2014,Madagascar,Madagascar,0.75,"3- B,S,C","sandy, fruity, short",3.0,Recommended,Bittersweet and Dark
121,Ara,France,2014,Mexico,Chiapas,0.72,"3- B,S,C","earthy, sour milk, leather",2.5,Disapointing,Bittersweet and Dark
122,Ara,France,2014,Ecuador,Equateur,0.75,"3- B,S,C","bitter, floral, leather",2.75,Disapointing,Bittersweet and Dark
123,Ara,France,2014,Venezuela,Trincheras,0.75,"3- B,S,C","nutty, mild spice, mild earthy",3.0,Recommended,Bittersweet and Dark
124,Arete,U.S.A.,2015,Brazil,Fazenda Camboa,0.7,"2- B,S","creamy, rich, rum, roasty",3.5,Highly Recommended,Bittersweet and Dark
125,Arete,U.S.A.,2015,Peru,Nacional,0.68,"2- B,S","floral, nutty, rich cocoa",3.5,Highly Recommended,Semi-sweet and Dark
126,Arete,U.S.A.,2015,Ecuador,"Puerto Quito, heirloom",0.7,"2- B,S","spicy, cocoa",3.75,Highly Recommended,Bittersweet and Dark
127,Arete,U.S.A.,2015,Dominican Republic,Oko Caribe,0.7,"2- B,S","spicy, brownie, nutty",3.5,Highly Recommended,Bittersweet and Dark
128,Arete,U.S.A.,2015,Belize,Maya Mountain,0.7,"2- B,S","floral, strawberry, metallic",3.75,Highly Recommended,Bittersweet and Dark
129,Arete,U.S.A.,2015,Nicaragua,Chuno,0.7,"2- B,S","creamy,sticky, peanut butter",4.0,Outstanding,Bittersweet and Dark
130,Arete,U.S.A.,2015,Brazil,Fazenda Camboa,0.75,"2- B,S","floral, chemical off",2.75,Disapointing,Bittersweet and Dark
131,Arete,U.S.A.,2015,Guatemala,Guatemala,0.7,"2- B,S","strawberry, butterscotch, off",3.25,Recommended,Bittersweet and Dark
132,Arete,U.S.A.,2015,Ecuador,Camino Verde,0.75,"3- B,S,C","intense, floral, bourbon",3.5,Highly Recommended,Bittersweet and Dark
133,Arete,U.S.A.,2016,Trinidad,San Juan,0.7,"2- B,S","delicate, simple",3.5,Highly Recommended,Bittersweet and Dark
134,Arete,U.S.A.,2016,Tanzania,Kokoa Kamili,0.7,"2- B,S","appealing smoke, woody",3.75,Highly Recommended,Bittersweet and Dark
135,Arete,U.S.A.,2016,Vietnam,Tien Giang,0.73,"3- B,S,C","cashew, roasty, chunky melt",3.5,Highly Recommended,Bittersweet and Dark
136,Arete,U.S.A.,2016,Ecuador,Hacienda Victoria,0.7,"3- B,S,C","sticky, floral, roasty",3.25,Recommended,Bittersweet and Dark
137,Arete,U.S.A.,2016,Ecuador,Costa Esmeraldas,0.7,"3- B,S,C","chewy, mild floral",3.25,Recommended,Bittersweet and Dark
138,Arete,U.S.A.,2016,Guatemala,Lachua,0.7,"2- B,S","subtle, mysterious",3.5,Highly Recommended,Bittersweet and Dark
139,Arete,U.S.A.,2016,Nicaragua,Rugoso,0.7,"3- B,S,C","muddy, rich cocoa, raspberry",3.75,Highly Recommended,Bittersweet and Dark
140,Arete,U.S.A.,2016,Honduras,"La Masica, FHIA",0.7,"2- B,S","nutty, green",3.5,Highly Recommended,Bittersweet and Dark
141,Arete,U.S.A.,2016,Costa Rica,"Coto Brus, Terciopelo",0.7,"2- B,S","balanced, cherry, choco",4.0,Outstanding,Bittersweet and Dark
142,Arete,U.S.A.,2016,Peru,Phantom,0.7,"2- B,S","creamy, complex, balanced",4.0,Outstanding,Bittersweet and Dark
143,Arete,U.S.A.,2016,Fiji,Matasawalevu,0.7,"2- B,S","smoke, hammy, cocoa base",3.25,Recommended,Bittersweet and Dark
144,Arete,U.S.A.,2016,Vietnam,Lam Dong,0.73,"2- B,S","earthy, nutty, cardboard",3.25,Recommended,Bittersweet and Dark
145,Arete,U.S.A.,2016,Dominican Republic,Elvesia,0.7,"2- B,S","dark berry, chocolatey",3.75,Highly Recommended,Bittersweet and Dark
146,Arete,U.S.A.,2017,India,Anamalai,0.7,"2- B,S","slight roasty, basic cocoa",3.5,Highly Recommended,Bittersweet and Dark
147,Arete,U.S.A.,2017,Madagascar,Sambirano Valley,0.7,"3- B,S,C",sour fruit,3.5,Highly Recommended,Bittersweet and Dark
148,Arete,U.S.A.,2017,Vietnam,Ben Tre,0.73,"3- B,S,C","rich cocoa, mild roasty",3.5,Highly Recommended,Bittersweet and Dark
149,Arete,U.S.A.,2017,Bolivia,Beniano,0.7,"2- B,S","creamy, bright fruit",4.0,Outstanding,Bittersweet and Dark
150,Arete,U.S.A.,2017,Peru,Ucayali,0.7,"3- B,S,C","dried fruit, fig, anise",3.5,Highly Recommended,Bittersweet and Dark
151,Arete,U.S.A.,2017,Haiti,Pisa,0.7,"2- B,S","long lasting, cocoa",4.0,Outstanding,Bittersweet and Dark
152,Arete,U.S.A.,2018,Trinidad,Ramnath E.,0.7,"2- B,S","nuts, dried fruit, short",3.0,Recommended,Bittersweet and Dark
153,Arete,U.S.A.,2018,Colombia,Tumaco,0.7,"2- B,S","smooth, nutty, cocoa",4.0,Outstanding,Bittersweet and Dark
154,Arete,U.S.A.,2019,India,Jangareddygudem,0.7,"3- B,S,C","herbs, mushroom, acidic",3.25,Recommended,Bittersweet and Dark
155,Arete,U.S.A.,2019,India,Idukki,0.7,"3- B,S,C","burn butterscotch, rubbery",3.0,Recommended,Bittersweet and Dark
156,Argencove,Nicaragua,2018,Nicaragua,Masaya,0.7,"2- B,S","melon, late hammy",3.25,Recommended,Bittersweet and Dark
157,Argencove,Nicaragua,2018,Nicaragua,Mombacho,0.7,"2- B,S","smooth, vegetal",3.5,Highly Recommended,Bittersweet and Dark
158,Argencove,Nicaragua,2018,Nicaragua,Cocibolca,0.7,"2- B,S","roasty, rich cocoa",3.5,Highly Recommended,Bittersweet and Dark
159,Argencove,Nicaragua,2018,Nicaragua,Apoyo,0.7,"2- B,S","cocoa, earthy, hammy",3.0,Recommended,Bittersweet and Dark
160,Artisan du Chocolat,U.K.,2008,Congo,Congo,0.72,"3- B,S,C","spicy, minty, vegetal",3.75,Highly Recommended,Bittersweet and Dark
161,Artisan du Chocolat,U.K.,2009,Venezuela,"Ocumare, Venezuela",0.75,"3- B,S,C","oily, nutty, burnt, sour",2.5,Disapointing,Bittersweet and Dark
162,Artisan du Chocolat,U.K.,2009,Indonesia,Java,0.72,"3- B,S,C","gritty, very smokey, sour",2.75,Disapointing,Bittersweet and Dark
163,Artisan du Chocolat,U.K.,2009,Brazil,Brazil Rio Doce,0.72,"3- B,S,C","cocoa, dominate off note",1.75,Unpleasant,Bittersweet and Dark
164,Artisan du Chocolat,U.K.,2009,Madagascar,Madagascar,0.8,"3- B,S,C","sl. bitter, cherry, rich",3.0,Recommended,Bittersweet and Dark
165,Artisan du Chocolat,U.K.,2009,Peru,Peru,0.75,"3- B,S,C","spicey, mild metallic",3.0,Recommended,Bittersweet and Dark
166,Artisan du Chocolat,U.K.,2009,Dominican Republic,Dominican Republic,0.72,"3- B,S,C","spice, cocoa, short",3.25,Recommended,Bittersweet and Dark
167,Artisan du Chocolat,U.K.,2010,Venezuela,Venezuela,1.0,,"very nutty, very bitter",1.75,Unpleasant,Unsweetened
168,Artisan du Chocolat,U.K.,2010,Jamaica,Jamaica,0.72,"3- B,S,C","grassy, black licorice, mint",3.75,Highly Recommended,Bittersweet and Dark
169,Artisan du Chocolat,U.K.,2010,Costa Rica,Costa Rica,0.72,"3- B,S,C","chewy, grassy, nutty",3.25,Recommended,Bittersweet and Dark
170,Artisan du Chocolat,U.K.,2010,Vietnam,Ba Ria Vung Tau Province,0.72,"3- B,S,C","unrefined, distinct spicey",3.25,Recommended,Bittersweet and Dark
171,Artisan du Chocolat,U.K.,2010,Indonesia,Bali,0.72,"3- B,S,C",black pepper and banana,3.5,Highly Recommended,Bittersweet and Dark
172,Artisan du Chocolat,U.K.,2011,Haiti,Haiti,0.72,"3- B,S,C","nuts, butterscotch, brownie",4.0,Outstanding,Bittersweet and Dark
173,Artisan du Chocolat,U.K.,2011,Panama,Panama,0.72,"3- B,S,C","blackpepper,chemical,rubber",2.75,Disapointing,Bittersweet and Dark
174,Artisan du Chocolat,U.K.,2012,Colombia,"Colombia, Casa Luker",0.72,"3- B,S,C","marshmallow, roasty, nutty",3.75,Highly Recommended,Bittersweet and Dark
175,Artisan du Chocolat,U.K.,2013,Trinidad,"Trinidad, Heritage, Limited ed.",0.72,"3- B,S,C","gritty, nutty",3.25,Recommended,Bittersweet and Dark
